# Block Model base.csv
#   exported from Leapfrog Geo
#   encoding: UTF-8
#   rotation type: Leapfrog
#   azimuth: 0 degrees (rotate clockwise around the Z axis when looking down)
#   dip: 0 degrees (then rotate around the X' axis down from the horizontal plane)
#   pitch: 0 degrees (then rotate clockwise around the Z'' axis when looking down)
#   block size: 1000 1000 1000
#   size in blocks: 79 58 4 = 18328
#   minimum centroid: 286608.2957 5068732.802452875 -1600
#   maximum centroid: 364608.2957 5125732.802452875 1400
#   minimum corner: 286108.2957 5068232.802452875 -2100
#   maximum corner: 365108.2957 5126232.802452875 1900
Id,X,Y,Z,dX,dY,dZ,Tough react test on 12/3/2025
257,306608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
258,307608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
259,308608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
260,309608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
261,310608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
262,311608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
263,312608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
264,313608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
265,314608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
266,315608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
267,316608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
268,317608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
269,318608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
270,319608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
271,320608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
272,321608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
273,322608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
274,323608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
275,324608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
276,325608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
277,326608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
278,327608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
279,328608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
280,329608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
281,330608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
282,331608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
283,332608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
284,333608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
285,334608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
286,335608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
287,336608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
288,337608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
289,338608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
290,339608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
291,340608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
292,341608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
293,342608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
294,343608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
295,344608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
296,345608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
297,346608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
298,347608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
299,348608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
300,349608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
301,350608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
302,351608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
303,352608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
304,353608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
305,354608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
306,355608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
307,356608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
308,357608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
309,358608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
310,359608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
311,360608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
312,361608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
313,362608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
314,363608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
315,364608.2957,5071732.802452875,-1600,1000,1000,1000,OUT
316,286608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
317,287608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
318,288608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
319,289608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
320,290608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
321,291608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
322,292608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
323,293608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
324,294608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
325,295608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
326,296608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
327,297608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
328,298608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
329,299608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
330,300608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
331,301608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
332,302608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
333,303608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
334,304608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
335,305608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
336,306608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
337,307608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
338,308608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
339,309608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
340,310608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
341,311608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
342,312608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
343,313608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
344,314608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
345,315608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
346,316608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
347,317608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
348,318608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
349,319608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
350,320608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
351,321608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
352,322608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
353,323608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
354,324608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
355,325608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
356,326608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
357,327608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
358,328608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
359,329608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
360,330608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
361,331608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
362,332608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
363,333608.2957,5072732.802452875,-1600,1000,1000,1000,OUT
